,0
SNP1,0
SNP2,0
SNP3,46
SNP4,9
SNP5,50
SNP6,10
SNP7,2
SNP8,3
SNP9,3
SNP10,3
SNP11,12
SNP12,11
SNP13,18
SNP14,41
SNP15,24
SNP16,18
SNP17,21
SNP18,26
SNP19,32
SNP20,73
SNP21,428
SNP22,429
SNP23,425
RBP4,728
年龄,16
孕次,155
产次,155
身高,159
孕前体重,158
BMI分类,159
孕前BMI,159
收缩压,195
舒张压,195
分娩时,648
糖筛孕周,161
VAR00007,6
wbc,89
ALT,115
AST,198
Cr,122
BUN,123
CHO,31
TG,31
HDLC,35
LDLC,34
ApoA1,51
ApoB,51
Lpa,51
hsCRP,58
SNP24,50
SNP25,7
SNP26,13
SNP27,11
SNP28,11
SNP29,13
SNP30,41
SNP31,39
SNP32,42
SNP33,17
SNP34,41
SNP35,28
SNP36,27
SNP37,38
SNP38,23
DM家族史,235
SNP39,32
SNP40,32
SNP41,32
SNP42,29
SNP43,23
SNP44,32
SNP45,25
SNP46,55
SNP47,32
SNP48,17
SNP49,13
SNP50,15
SNP51,16
SNP52,10
SNP53,39
SNP54,408
SNP55,408
ACEID,408
label,0
