id,Predicted
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,1
199,1
