,SNP1,SNP2,SNP3,SNP4,SNP5,SNP6,SNP7,SNP8,SNP9,SNP10,SNP11,SNP12,SNP13,SNP14,SNP15,SNP16,SNP17,SNP18,SNP19,SNP20,SNP21,SNP22,SNP23,RBP4,年龄,孕次,产次,身高,孕前体重,BMI分类,孕前BMI,收缩压,舒张压,分娩时,糖筛孕周,VAR00007,wbc,ALT,AST,Cr,BUN,CHO,TG,HDLC,LDLC,ApoA1,ApoB,Lpa,hsCRP,SNP24,SNP25,SNP26,SNP27,SNP28,SNP29,SNP30,SNP31,SNP32,SNP33,SNP34,SNP35,SNP36,SNP37,SNP38,DM家族史,SNP39,SNP40,SNP41,SNP42,SNP43,SNP44,SNP45,SNP46,SNP47,SNP48,SNP49,SNP50,SNP51,SNP52,SNP53,SNP54,SNP55,ACEID,label
SNP1,1.0,-0.03190947751907121,-0.051674890337657146,0.03164901916680985,-0.05613196150287866,-0.048741382526897706,-0.041621604731730315,-0.01786780891856348,-0.018246577703389576,-0.006113218170539847,-0.036525551248311236,0.0011602500909525138,-0.01731668910736101,0.00505511190663908,-0.0002825485622330979,0.0016465320859260512,0.021040020748404213,-0.060954833561511976,-0.061216408794073536,0.001057895571905936,0.005733706237243083,0.02688485287325281,0.08678758851160838,-0.09104489469898283,-0.013136498823212137,-0.09887373087751145,0.002218005716833945,0.04291133758089456,0.0027838851494733285,0.017751867606964546,-0.009382113993225645,-0.013661106803245403,0.00647738099853085,-0.008020829712390954,-0.03744065681447783,0.002251911654990015,0.003185921855472095,-0.015835325762679712,-0.03321132910894827,0.010690773984172073,0.014495458426767908,0.05214633403176562,-0.012165865552570772,0.005768759683245647,0.053266437700154906,-0.057230166752847034,0.030872911804539525,0.05710504346652049,0.04698926073271508,-0.059731580559800476,-0.038198330997928895,-0.00866433521708683,0.02610601189832067,0.016535368985652457,-0.9999999999999999,0.025225625581941316,0.0023297502024103673,-0.012085123650314535,-0.019363553003995608,-0.03853555797744491,0.0041344845708276585,-0.013909301369482447,0.02578219656239589,7.924362740199535e-05,-0.007475220896235943,0.038450681654959754,0.009499004367080956,0.010847266565909905,0.017058255203327377,-0.003954307241008779,-0.04779858735065775,0.012795922495967102,-0.04542839809418572,0.0059060338945944105,0.005251089106504182,-0.07772340218655728,0.04078989716130452,0.021423538036931342,-0.002144726783451762,0.030045893168470717,0.0019393803949999343,-0.009513980735403998,0.020073627650008155,0.03526236016730954
SNP2,-0.03190947751907121,1.0,0.030218730045144655,-0.020954157349953453,0.06410755731265314,-0.028645651559433494,-0.007580626173776688,0.015751260808692713,0.018151285738842702,-0.007771896009144352,-0.008086936840464258,-0.06452116505533935,0.03905019685130428,0.02167500064286492,-0.0336129058052511,-0.04752868101186614,0.037188038694000385,0.001994837476234537,-0.005761348166309021,0.008189151341704424,-0.011033634176320688,-0.04362173760003337,-0.000758074162466095,-0.06332719990299925,0.01318123266300736,0.009134343579288043,-0.04978684475433079,-0.006939061133938168,-0.04996755944010759,-0.04532892750669876,-0.04759068198701792,0.028293884787805503,-0.0032491657312798843,-0.02008747116621442,0.057624104020298134,-0.02714324665947497,0.051663216096974766,-0.02695926935907092,-0.006142461911959692,-0.002624820438130421,-0.04728139019072168,-0.04700631944766855,-0.013450114858618006,-0.017329490859238926,-0.03868444460782904,-0.018225654280708433,-0.05311460679305059,-0.031049905352125595,-0.06123470952461363,0.033346821721187574,-0.015996407755089752,-0.045601944717746645,-0.0210763744280719,0.009524993432158055,0.03137485524826221,0.003450522106971577,0.024855654247371226,0.01804832565737613,0.05577266043373349,0.0014528320566510847,-0.05155515352342885,-0.028410735631151537,-0.008910325266754069,0.004152366075864557,-0.039407532495418215,0.058641537415517475,-0.003730650477464769,0.07358642680247164,-0.04085188124824285,-0.01466570671955365,0.024222516577820215,-0.02900360675292053,-0.01185693363502318,0.025005873298124266,0.018948803181654154,0.039356907557352494,-0.0360170049751608,0.007499780482649877,0.0009780536030974186,0.0249018945459296,0.06922351932702105,0.08119587335682141,0.016807189982720162,-0.01647820195719215
SNP3,-0.051674890337657146,0.030218730045144655,1.0,-0.004398533680392701,0.01799995171736959,0.015230535251029055,-0.047347975866030755,-0.1390033993700969,-0.13340407027514403,-0.09886102476154346,0.1035071492619291,-0.03012836917202727,-0.02588160127728672,-0.05414440819918602,-0.008228242472737804,-0.0241269798087061,-0.014612856788881457,-0.009103247626338826,-0.007506504781885267,0.002820495173398562,0.08844024881280758,-0.09639934015823448,0.08172830877510247,0.09514148064490187,-0.013472453010801367,0.030679220832093637,0.010187528602730877,0.0003612877631901329,0.03046996157348089,-0.012092040483976997,0.03754346263669298,0.011988123990249665,0.01397802981106322,0.07848112259167113,0.0503915868683287,0.01993784339443989,-0.019350749612583387,0.042944766504843794,-0.005382506776653004,-0.07381328897323776,-0.07566760002603404,0.060915587248458074,0.03966385167383206,-0.004173729281082944,0.07465293717349991,-0.0088893385402477,0.03112408836670399,0.038996261861780124,0.05853501583514217,0.027483018536889694,0.04907701367092198,0.08709875082162138,-0.017836832307533204,0.007429000378430419,0.04869812001706286,0.008217374378788434,-0.018062983378053413,0.03889842932333056,-0.029872863194501654,0.042943546517480634,0.006281952703491809,-0.03874730690195825,-0.053228236651382606,0.018815638674883704,-0.009878421003268646,-0.00834472996562208,-0.00483289246234415,-0.01076120813219548,-0.05513118048600963,-0.06406757100484185,-0.06870661523488505,0.03107599585202292,-0.00824253529717802,0.010436639408360301,0.010616485694379974,-1.6494495366107043e-05,-0.013542273127339455,-0.01683240850286772,0.014193990730467591,-0.02821666064211318,-0.08136804732859627,-0.0683822420014883,0.056763626700882294,0.03105972727819536
SNP4,0.03164901916680985,-0.020954157349953453,-0.004398533680392701,1.0,0.05489890873037314,0.003165160053465673,0.0011503687050061471,0.09344978156001296,0.10530177352010053,-0.027966086054915632,-0.019156151056366356,-0.034138838583924684,0.012577277044562903,0.011092285619175317,-0.07663891044594633,0.0348300085482568,0.07522313307095334,-0.009737820561337956,-0.021257406805238188,0.039224216227177644,-0.10342042059964256,0.004022692365172152,0.026934255782895277,-0.00951157948115424,0.023471070430293502,0.05583915523031154,-0.0006009957883920047,-0.06737591323496049,-0.049863382091530115,0.025563465004728878,-0.013278424793616647,-0.024516060485799077,0.034410206007585355,-0.014354886031218667,-0.035124065362661,-0.008888794179892821,0.016548332119685014,0.010945428529880083,-0.008112517001753325,0.010826046123198272,0.01736168880831269,-0.020709471119049555,0.0010344858362186598,0.008144381332628244,-0.006599328573185034,0.013728088258796418,0.0045790120470163,-0.004458710079128803,0.004804408242523679,-0.0372214730279729,-0.061107942759609624,-0.0015682123104820232,0.022672204717336848,-0.17115214492234213,-0.038468826260663246,-0.02248828729068897,-0.021539973925300448,-0.07481482948453891,0.014709982234132722,0.0007798795169776402,-0.09704438738484816,0.005824422578192053,0.011354871733659786,0.03224738473086243,0.019220942875752135,0.021495995540975914,-0.024593087984663666,0.01779728628617959,0.039742705766346094,0.031644439731958525,0.002502663756296771,0.024324479593937225,-0.05027231394766473,-0.01902436216605785,0.03873609565841347,0.03786466874730136,0.008037273590112342,0.0014410206480476638,-0.008866629478374737,-0.0060647254650090035,0.04068040569825301,0.024086258061532338,-0.041448873239219926,-0.015792927540020377
SNP5,-0.05613196150287866,0.06410755731265314,0.01799995171736959,0.05489890873037314,1.0,0.04697423028001053,-0.02184978580982211,0.0030552746332310515,0.005033602804795571,-0.011278709033739119,-0.03204905343216091,-0.04271804496613374,0.0012710512256517315,-0.035295965804032076,0.026456988547115992,-0.05157737465507633,0.026078570370940697,-0.03777222345196399,-0.04272219287588939,-0.048132355519043296,-0.07598509559253866,0.009979787400102753,0.03070035287506628,-0.028678393413094444,-0.016595430926058728,0.047168353058545984,-0.016264728512275794,-0.027203772280159993,-0.005652026401787834,-0.024256391767858782,0.010469755344240765,0.05035029411101831,0.06622377499825384,-0.020888351704668136,-0.045355505688589724,-0.0019477734033107358,-0.003290847932454736,-0.006232692063273456,0.010933839891556331,-0.0015549015070233545,0.05259651420474367,-0.07297524481589691,-0.024494180863648456,-0.016509190546535435,-0.061998334577834095,0.023305517325338015,-0.04172166060549087,-0.03676082950250405,0.0009217700311629721,0.04222797031450485,-0.03255939245473894,-0.0029578435254278613,0.012893978404170654,0.006727646608403509,0.05459711944983141,0.06397003464761804,-0.06781113906612285,-0.01624590610677048,0.016947210725515496,0.04670229544777704,0.0019234275136138337,0.03334098229422301,0.01980419609596067,-0.07083881385835418,0.06197362903999968,0.007902369473965299,0.009696204413252963,0.01456649925051382,0.1276641769813142,0.017392990811474895,0.01567666123643783,0.028316168001605205,-0.032741385609656455,-0.0349490427696453,0.047826127542171366,0.05157853267905334,-0.06161444722303952,0.042868696287583524,-0.00815569166260568,0.011672222200484446,-0.04143043089340958,-0.10865255928090076,-0.06805369570599024,-0.0009872241324336067
SNP6,-0.048741382526897706,-0.028645651559433494,0.015230535251029055,0.003165160053465673,0.04697423028001053,1.0,-0.017761558097893124,-0.02343654526025374,-0.027420393190336925,0.013983940647191002,0.042778367074721144,-0.024421702146642407,-0.033491919270444453,-0.04449047355257615,0.015156508034837332,0.04301748666402211,0.03869906363171727,0.01232939383100887,0.009903846079255011,0.041971759572723526,0.04163803688435201,-0.05485524334524363,-0.045037709901150844,0.03607941568095792,0.007295377694225359,-0.006274194058196399,-0.02916404341572831,0.029487088370358294,0.09809961937651637,0.018628399584144546,0.08408071486136892,0.037637953034053914,0.009899049019763575,0.11944159151677235,-0.023931442375560122,0.04955553356620351,-0.03045616867967579,0.04432502269820987,0.05421868312965029,0.011673208929563,0.02776946701586593,-0.000866003908761806,0.03356770735376306,-0.002285535530287031,-0.00779819798792258,0.01949386525964035,-0.009138116487053899,0.02011192517680723,0.04079884488648855,-0.008414021844293771,0.0733479400323559,0.02134310106172156,-0.015019147579556169,-0.002231997636732383,0.0513271800858495,0.011805304593696367,0.01858525236206878,-0.007489499609064973,0.03992272750942473,0.05632459536259591,0.006536364994499162,-0.0265552213677519,-0.007044588370811483,-0.04348372312591976,-0.014839777229838504,0.017143399895748843,-0.0055434359199598975,0.050557987589622384,0.02353567584979217,-0.05130837540571619,-0.00620536979777609,-0.014640392585138747,0.037174273389446996,-0.03088681623232662,-0.016639219235740722,-0.038221926507290456,-0.007741418117360939,-0.01965948427291971,0.027544058200520884,0.02489293584281334,0.06305938925517368,0.043428400252095316,-0.06334871678757528,0.044326572515078065
SNP7,-0.041621604731730315,-0.007580626173776688,-0.047347975866030755,0.0011503687050061471,-0.02184978580982211,-0.017761558097893124,1.0,-0.00827799129314459,-0.0099348212407363,0.006039571812908277,0.002739364462516786,-0.04835367640394742,-0.014306600112218194,0.007685904964320932,-0.041217571867519454,-0.0014023334808174143,0.02738003633313799,0.017533599561984373,0.01428938893243052,0.018866545616844446,0.003342867551185657,0.05610872707072122,-0.04604039903496731,-0.09261005217872242,-0.0020163504970723547,0.007587897285365698,0.029680570056269066,0.0015266565385588537,-0.017987180771741555,-0.023201908953867593,-0.011365660702639002,-0.0035680494613996487,-0.033438825164920256,-0.022066279196250302,0.013793082700526049,-0.013622148785874904,0.00775407125820516,-0.021548586238524667,0.016318216365700515,0.011096378973541975,0.029612527881709177,0.06357186003974727,-0.08174207502733476,0.06429731014174528,0.07796981766748219,0.01387022812272202,0.036608574828407056,0.055923522045820115,0.018609631125446363,-0.04180825814869852,-0.044763127302559574,-0.07646440974721097,0.005831789805990094,-0.03620433288163943,0.04890417037050597,0.019404995220054084,0.01632780815376079,-0.011614344684948898,-0.07100640770223135,-0.0018137706221701758,0.05657163825582504,0.019587872071568042,0.050272839764478605,0.035511874025795344,0.043784974864210874,0.01407496718971966,-0.004448266653494307,-0.020496493532455962,-0.04359380850616318,0.017934437843451338,-0.03510356902948726,-0.04658444070967718,-0.02659017459500849,-0.014512888101630166,0.0467865946783751,0.016281229891659872,0.05028728784261626,0.023670513945093133,-0.044547840843820866,-0.027959892313327423,-0.04582092082395779,-0.040019997468267884,-0.07774737236067662,0.0034356385495787484
SNP8,-0.01786780891856348,0.015751260808692713,-0.1390033993700969,0.09344978156001296,0.0030552746332310515,-0.02343654526025374,-0.00827799129314459,1.0,0.9711871506822901,0.4059209146819833,0.005808065073522689,-0.05322740602801213,0.04186027947833048,0.03601536317270105,-0.004036542447759158,-0.012013412344154529,0.052538932480452216,0.051562444195927995,0.06427825536611184,0.0626361137001143,-0.670966378514994,0.04238505766512542,-0.12196755473765222,0.06004670969493942,-0.033651862631226145,-0.011942470393800928,-0.06950743559516047,0.004327360061306872,0.016744737269078006,0.038744836545381134,0.008748401217637015,-0.005645417196276894,0.011546765793457236,0.1217159570202068,0.0014804226088097824,-0.00529913226642365,-0.009016390811101586,0.03361345221043806,0.008898191015777206,0.03639395293970951,0.03275295540548623,-0.01259009477742165,-0.013529958511656209,0.04319361732286247,-0.019937689144208966,0.08264558722439835,-0.0044299055757005415,0.001601050776567205,-0.021674708925294862,-0.04105913926215609,-0.036218261292563954,0.019720592160572186,0.023177627566684827,-0.027653381265321315,0.023427301647955798,0.007712287400943003,-0.014368653072936142,0.03260829861966149,-0.09008111760431481,0.005031180303615007,-0.025305936276289333,-0.007660264262169549,0.038952952716097035,0.018086685901878376,-0.0028847121224273072,0.027232958721645873,-0.014551899297882873,0.009875181088505741,0.026628894639284917,0.05334000017068801,0.02050274552693114,-0.003075778127578773,-0.050362071784595425,-0.009614770753316432,0.044896163896632084,0.03265247661749877,0.02836583925370095,0.046821677695381564,-0.0494166878777674,0.04132160988123633,0.03160695906660492,0.0007842387222836817,-0.0011058274691457615,-0.005566976876142497
SNP9,-0.018246577703389576,0.018151285738842702,-0.13340407027514403,0.10530177352010053,0.005033602804795571,-0.027420393190336925,-0.0099348212407363,0.9711871506822901,1.0,0.27389491350201606,0.0022606705477721365,-0.055910420223467726,0.04608914367979309,0.04014946749840869,-0.0061184499812679035,-0.016023726816631875,0.050460249018927414,0.046845203580184944,0.05882441244546537,0.05991275875309756,-0.6749018967787087,0.043645571695146976,-0.1177530172337716,0.017925556804328353,-0.035818903802510585,-0.017424905824212616,-0.06780792260063745,0.0014100922456022412,0.013163595128029535,0.04292913150498695,0.007690684799195549,0.004095728421517538,0.021848252289991578,0.12355305214634311,0.008797024090483368,0.004492960328350806,-0.012555906774797588,0.03370477051228553,0.011157460716941688,0.041971114172755716,0.03056605571045439,-0.018146046084383367,-0.014587507351667481,0.044566715724181014,-0.024964523787397486,0.09139382160261264,-0.00812847208640261,0.008952652075708164,-0.01652972650343041,-0.03963379835396316,-0.0339477567082473,0.021395964913749007,0.029347335241411497,-0.026093019081274416,0.024143418645986528,0.002008667199247722,-0.009568175329675072,0.032714275772426686,-0.0852474096332281,0.005475276054245902,-0.030195185561599745,-0.005533630333636435,0.03724102336577114,0.01912449241493609,-0.0048102155121711706,0.026678968720907033,-0.012937254041433437,0.006835836865740014,0.025447979289809172,0.048804421351701634,0.01823941282221351,-0.0024844814811713196,-0.053927129865436865,-0.01555383919253716,0.04558067921691084,0.030380774361700256,0.023984530992464073,0.044034188472027086,-0.048338840987269975,0.03829254319646288,0.03723996952710029,0.002566078215675319,0.0012360777670600044,0.004576568758438936
SNP10,-0.006113218170539847,-0.007771896009144352,-0.09886102476154346,-0.027966086054915632,-0.011278709033739119,0.013983940647191002,0.006039571812908277,0.4059209146819833,0.27389491350201606,1.0,0.025332837117287434,-0.00823600792750107,-0.007014923571939314,-0.010491887724468369,0.010918109339186176,0.01986043250963606,0.036764078672578276,0.051443862268524605,0.06206998234836397,0.04621572147851334,-0.2403036222866576,0.011672595426686652,-0.08429746762683565,0.20475708983698052,-0.002798709144757936,0.029954178994837648,-0.04292056119946077,0.021219229562665105,0.03079766797026986,-0.008830453079037877,0.01037587112488667,-0.06599605932506628,-0.06210921477815247,0.019894447445579833,-0.04794410133234925,-0.06347324527311012,0.01841791151362928,0.014097833534346741,-0.009165951985723463,-0.01793991756869168,0.027572444645541757,0.030579034149529262,-0.0006130864888674411,0.010803766598804249,0.0233737994461374,-0.013599469702623369,0.02155858771652786,-0.045145137879263816,-0.04177051944402922,-0.027997801709760625,-0.030737274498754123,-0.001320882872006517,-0.028344770390036616,-0.02262204031199214,0.006740077186155326,0.039320281053324864,-0.03502786827191214,0.01407677679883789,-0.07137916984581485,-0.0005228012512751754,0.019195923510886566,-0.016742351428670747,0.028302361249893365,0.0016975934456633095,0.010814333873605813,0.016107328991390068,-0.016699007993725725,0.02372196937536216,0.019511505566504307,0.053326826373637684,0.023276110374767945,-0.005055894680843435,-0.0006161359727217591,0.030992811473734626,0.01622610592096807,0.029982329543845436,0.04012420455600743,0.038242330134641,-0.029491144625732726,0.03744255745395424,-0.02330869118165868,-0.01169681227418474,-0.015616001482317501,-0.06493270532134464
